CMDLINE python python/solution_pandas.py
MEM 3748.812500 1614116268.3564
MEM 3750.410156 1614116268.4568
MEM 3756.925781 1614116268.5572
MEM 3765.503906 1614116268.6574
MEM 3774.230469 1614116268.7577
MEM 3782.699219 1614116268.8581
MEM 3790.609375 1614116268.9585
MEM 3798.578125 1614116269.0588
MEM 3807.285156 1614116269.1592
MEM 3815.906250 1614116269.2595
MEM 3824.312500 1614116269.3599
MEM 3832.210938 1614116269.4602
MEM 3839.121094 1614116269.5605
MEM 3847.246094 1614116269.6609
MEM 3855.140625 1614116269.7613
MEM 3862.750000 1614116269.8616
MEM 3870.382812 1614116269.9619
MEM 3878.789062 1614116270.0623
MEM 3887.160156 1614116270.1626
MEM 3891.742188 1614116270.2629
MEM 3896.542969 1614116270.3632
MEM 3902.386719 1614116270.4635
MEM 3908.722656 1614116270.5639
MEM 3914.042969 1614116270.6642
MEM 3920.226562 1614116270.7646
MEM 3925.218750 1614116270.8649
MEM 3932.785156 1614116270.9653
MEM 3937.339844 1614116271.0656
MEM 3944.449219 1614116271.1660
MEM 3952.355469 1614116271.2664
MEM 3961.226562 1614116271.3667
MEM 3969.519531 1614116271.4670
MEM 3978.343750 1614116271.5674
MEM 3987.207031 1614116271.6677
MEM 3996.339844 1614116271.7681
MEM 4005.183594 1614116271.8685
MEM 4014.074219 1614116271.9689
MEM 4023.144531 1614116272.0693
MEM 4032.324219 1614116272.1696
MEM 4041.359375 1614116272.2700
MEM 4050.035156 1614116272.3704
MEM 4058.535156 1614116272.4708
MEM 4067.417969 1614116272.5711
MEM 4076.226562 1614116272.6714
MEM 4084.769531 1614116272.7717
MEM 4093.347656 1614116272.8721
MEM 4101.484375 1614116272.9724
MEM 4110.503906 1614116273.0728
MEM 4119.601562 1614116273.1731
MEM 4128.671875 1614116273.2735
MEM 4137.519531 1614116273.3738
MEM 4146.332031 1614116273.4741
MEM 4155.242188 1614116273.5745
MEM 4163.804688 1614116273.6748
MEM 4172.847656 1614116273.7752
MEM 4181.687500 1614116273.8755
MEM 4190.562500 1614116273.9759
MEM 4199.609375 1614116274.0762
MEM 4208.437500 1614116274.1766
MEM 4217.500000 1614116274.2769
MEM 4226.628906 1614116274.3773
MEM 4235.171875 1614116274.4776
MEM 4244.238281 1614116274.5779
MEM 4252.390625 1614116274.6783
MEM 4260.703125 1614116274.7786
MEM 4269.277344 1614116274.8789
MEM 4277.890625 1614116274.9793
MEM 4286.542969 1614116275.0797
MEM 4295.828125 1614116275.1800
MEM 4302.144531 1614116275.2803
MEM 4309.480469 1614116275.3806
MEM 4317.839844 1614116275.4810
MEM 4325.914062 1614116275.5813
MEM 4334.308594 1614116275.6817
MEM 4342.347656 1614116275.7820
MEM 4350.410156 1614116275.8824
MEM 4357.554688 1614116275.9827
MEM 4365.843750 1614116276.0831
MEM 4373.816406 1614116276.1835
MEM 4382.003906 1614116276.2838
MEM 4389.910156 1614116276.3842
MEM 4397.992188 1614116276.4845
MEM 4406.148438 1614116276.5849
MEM 4414.035156 1614116276.6852
MEM 4422.285156 1614116276.7855
MEM 4430.386719 1614116276.8860
MEM 4438.128906 1614116276.9864
MEM 4446.386719 1614116277.0867
MEM 4454.339844 1614116277.1870
MEM 4462.031250 1614116277.2874
MEM 4469.910156 1614116277.3877
MEM 4477.062500 1614116277.4881
MEM 4485.230469 1614116277.5884
MEM 4493.558594 1614116277.6888
MEM 4501.781250 1614116277.7891
MEM 4510.078125 1614116277.8895
MEM 4518.183594 1614116277.9898
MEM 4526.417969 1614116278.0902
MEM 4534.503906 1614116278.1905
MEM 4542.535156 1614116278.2908
MEM 4550.718750 1614116278.3912
MEM 4558.898438 1614116278.4915
MEM 4567.437500 1614116278.5919
MEM 4575.886719 1614116278.6922
MEM 4584.093750 1614116278.7926
MEM 4592.234375 1614116278.8929
MEM 4599.324219 1614116278.9933
MEM 4607.476562 1614116279.0936
MEM 4615.820312 1614116279.1940
MEM 4624.062500 1614116279.2943
MEM 4632.667969 1614116279.3947
MEM 4640.835938 1614116279.4949
MEM 4649.222656 1614116279.5953
MEM 4657.617188 1614116279.6956
MEM 4665.867188 1614116279.7960
MEM 4673.933594 1614116279.8963
MEM 4674.703125 1614116279.9967
MEM 4674.703125 1614116280.0971
MEM 4674.703125 1614116280.1976
MEM 4674.703125 1614116280.2980
MEM 4674.703125 1614116280.3984
MEM 4674.703125 1614116280.4988
MEM 4674.703125 1614116280.5991
MEM 4674.703125 1614116280.6995
MEM 4674.703125 1614116280.7999
MEM 4674.703125 1614116280.9004
MEM 4674.703125 1614116281.0009
MEM 4674.703125 1614116281.1013
MEM 4674.703125 1614116281.2018
MEM 4674.703125 1614116281.3022
MEM 4674.703125 1614116281.4026
MEM 4674.703125 1614116281.5030
MEM 4674.703125 1614116281.6035
MEM 4674.703125 1614116281.7039
MEM 4674.703125 1614116281.8042
MEM 4674.703125 1614116281.9046
MEM 4674.703125 1614116282.0050
MEM 4674.703125 1614116282.1055
MEM 4674.703125 1614116282.2059
MEM 4678.570312 1614116282.3062
MEM 4687.039062 1614116282.4066
MEM 4695.410156 1614116282.5069
MEM 4703.964844 1614116282.6073
MEM 4712.667969 1614116282.7077
MEM 4721.105469 1614116282.8080
MEM 4729.812500 1614116282.9084
MEM 4738.316406 1614116283.0088
MEM 4746.972656 1614116283.1091
MEM 4755.500000 1614116283.2095
MEM 4763.753906 1614116283.3099
MEM 4771.839844 1614116283.4102
MEM 4780.003906 1614116283.5105
MEM 4786.898438 1614116283.6109
MEM 4795.191406 1614116283.7112
MEM 4803.429688 1614116283.8116
MEM 4811.699219 1614116283.9119
MEM 4820.203125 1614116284.0123
MEM 4828.460938 1614116284.1127
MEM 4836.867188 1614116284.2130
MEM 4845.386719 1614116284.3134
MEM 4853.914062 1614116284.4137
MEM 4862.644531 1614116284.5140
MEM 4871.062500 1614116284.6144
MEM 4879.691406 1614116284.7147
MEM 4887.832031 1614116284.8150
MEM 4895.964844 1614116284.9153
MEM 4904.335938 1614116285.0157
MEM 4911.992188 1614116285.1160
MEM 4920.011719 1614116285.2165
MEM 4928.468750 1614116285.3168
MEM 4936.656250 1614116285.4171
MEM 4944.921875 1614116285.5174
MEM 4952.617188 1614116285.6177
MEM 4961.101562 1614116285.7181
MEM 4969.042969 1614116285.8185
MEM 4977.164062 1614116285.9188
MEM 4985.167969 1614116286.0192
MEM 4993.550781 1614116286.1195
MEM 5001.433594 1614116286.2198
MEM 5009.687500 1614116286.3202
MEM 5018.246094 1614116286.4205
MEM 5026.496094 1614116286.5209
MEM 5034.812500 1614116286.6212
MEM 5042.074219 1614116286.7215
MEM 5050.042969 1614116286.8219
MEM 5057.851562 1614116286.9222
MEM 5066.257812 1614116287.0226
MEM 5074.464844 1614116287.1229
MEM 5082.835938 1614116287.2233
MEM 5090.988281 1614116287.3237
MEM 5099.527344 1614116287.4240
MEM 5107.726562 1614116287.5243
MEM 5116.230469 1614116287.6246
MEM 5124.609375 1614116287.7249
MEM 5132.824219 1614116287.8252
MEM 5141.203125 1614116287.9255
MEM 5149.832031 1614116288.0258
MEM 5158.210938 1614116288.1262
MEM 5165.375000 1614116288.2266
MEM 5173.781250 1614116288.3269
MEM 5182.296875 1614116288.4273
MEM 5190.546875 1614116288.5276
MEM 5198.882812 1614116288.6280
MEM 5207.308594 1614116288.7283
MEM 5215.625000 1614116288.8287
MEM 5224.218750 1614116288.9291
MEM 5232.726562 1614116289.0294
MEM 5241.218750 1614116289.1297
MEM 5250.109375 1614116289.2300
MEM 5258.464844 1614116289.3304
MEM 5267.320312 1614116289.4307
MEM 5276.304688 1614116289.5311
MEM 5285.152344 1614116289.6314
MEM 5293.812500 1614116289.7318
MEM 5302.472656 1614116289.8321
MEM 5311.378906 1614116289.9325
MEM 5320.277344 1614116290.0328
MEM 5329.191406 1614116290.1332
MEM 5338.132812 1614116290.2335
MEM 5346.855469 1614116290.3339
MEM 5355.242188 1614116290.4342
MEM 5363.703125 1614116290.5345
MEM 5372.656250 1614116290.6349
MEM 5381.636719 1614116290.7353
MEM 5390.328125 1614116290.8356
MEM 5398.722656 1614116290.9359
MEM 5407.117188 1614116291.0362
MEM 5415.730469 1614116291.1366
MEM 5424.335938 1614116291.2369
MEM 5432.750000 1614116291.3373
MEM 5441.300781 1614116291.4376
MEM 5449.687500 1614116291.5380
MEM 5458.105469 1614116291.6383
MEM 5466.593750 1614116291.7386
MEM 5474.929688 1614116291.8389
MEM 5483.312500 1614116291.9392
MEM 5491.902344 1614116292.0395
MEM 5500.593750 1614116292.1399
MEM 5509.128906 1614116292.2402
MEM 5518.210938 1614116292.3407
MEM 5527.089844 1614116292.4410
MEM 5535.910156 1614116292.5414
MEM 5544.804688 1614116292.6417
MEM 5553.636719 1614116292.7420
MEM 5561.992188 1614116292.8424
MEM 5570.828125 1614116292.9427
MEM 5579.957031 1614116293.0430
MEM 5588.769531 1614116293.1434
MEM 5597.609375 1614116293.2437
MEM 5606.472656 1614116293.3440
MEM 5615.316406 1614116293.4444
MEM 5624.183594 1614116293.5447
MEM 5633.234375 1614116293.6451
MEM 5640.574219 1614116293.7455
MEM 5649.410156 1614116293.8459
MEM 5658.273438 1614116293.9463
