CMDLINE python python/solution_loop.py
MEM 24.402344 1614526279.6815
MEM 24.652344 1614526279.7818
MEM 24.652344 1614526279.8821
MEM 24.652344 1614526279.9824
MEM 24.652344 1614526280.0827
MEM 24.902344 1614526280.1830
MEM 24.902344 1614526280.2833
MEM 24.902344 1614526280.3837
MEM 24.902344 1614526280.4840
MEM 25.152344 1614526280.5843
MEM 25.152344 1614526280.6846
MEM 25.152344 1614526280.7849
MEM 25.152344 1614526280.8852
MEM 25.402344 1614526280.9855
MEM 25.402344 1614526281.0858
MEM 25.402344 1614526281.1861
MEM 25.402344 1614526281.2864
MEM 25.402344 1614526281.3868
MEM 25.652344 1614526281.4871
MEM 25.652344 1614526281.5874
MEM 25.652344 1614526281.6878
MEM 25.652344 1614526281.7881
MEM 25.652344 1614526281.8885
MEM 25.652344 1614526281.9888
MEM 25.902344 1614526282.0890
MEM 25.902344 1614526282.1893
MEM 25.902344 1614526282.2896
MEM 25.902344 1614526282.3899
MEM 25.902344 1614526282.4902
MEM 25.902344 1614526282.5905
MEM 26.152344 1614526282.6909
MEM 26.152344 1614526282.7912
MEM 26.152344 1614526282.8915
MEM 26.152344 1614526282.9918
MEM 26.152344 1614526283.0921
MEM 26.152344 1614526283.1924
MEM 26.402344 1614526283.2927
MEM 26.402344 1614526283.3930
MEM 26.402344 1614526283.4934
MEM 26.402344 1614526283.5937
MEM 26.402344 1614526283.6940
MEM 26.652344 1614526283.7943
MEM 26.652344 1614526283.8946
MEM 26.652344 1614526283.9949
MEM 26.652344 1614526284.0952
MEM 26.652344 1614526284.1955
MEM 26.902344 1614526284.2958
MEM 26.902344 1614526284.3961
MEM 26.902344 1614526284.4964
MEM 26.902344 1614526284.5967
MEM 26.902344 1614526284.6971
MEM 27.152344 1614526284.7974
MEM 27.152344 1614526284.8977
MEM 27.152344 1614526284.9980
MEM 27.152344 1614526285.0982
MEM 27.402344 1614526285.1985
MEM 27.402344 1614526285.2988
MEM 27.402344 1614526285.3991
MEM 27.402344 1614526285.4994
MEM 27.652344 1614526285.5997
MEM 27.652344 1614526285.7000
MEM 27.652344 1614526285.8003
MEM 27.902344 1614526285.9007
MEM 27.902344 1614526286.0010
MEM 27.902344 1614526286.1013
MEM 27.902344 1614526286.2016
MEM 28.152344 1614526286.3018
MEM 28.152344 1614526286.4021
MEM 28.152344 1614526286.5025
MEM 28.402344 1614526286.6027
MEM 28.402344 1614526286.7030
MEM 28.402344 1614526286.8033
MEM 28.652344 1614526286.9037
MEM 28.652344 1614526287.0040
MEM 28.652344 1614526287.1043
MEM 28.902344 1614526287.2046
MEM 28.902344 1614526287.3049
MEM 28.902344 1614526287.4052
MEM 29.152344 1614526287.5055
MEM 29.152344 1614526287.6059
MEM 29.152344 1614526287.7062
MEM 29.402344 1614526287.8066
MEM 29.402344 1614526287.9069
MEM 29.402344 1614526288.0072
MEM 29.652344 1614526288.1075
MEM 29.652344 1614526288.2079
MEM 29.652344 1614526288.3082
MEM 29.902344 1614526288.4085
MEM 29.902344 1614526288.5088
MEM 30.152344 1614526288.6091
MEM 30.152344 1614526288.7094
MEM 30.152344 1614526288.8097
MEM 30.152344 1614526288.9101
MEM 30.402344 1614526289.0105
MEM 35.507812 1614526289.1107
MEM 35.507812 1614526289.2110
MEM 35.652344 1614526289.3113
MEM 35.652344 1614526289.4116
MEM 35.652344 1614526289.5119
MEM 35.902344 1614526289.6122
MEM 35.902344 1614526289.7126
MEM 35.902344 1614526289.8129
MEM 35.902344 1614526289.9132
MEM 36.152344 1614526290.0135
MEM 36.152344 1614526290.1138
MEM 36.152344 1614526290.2140
MEM 36.152344 1614526290.3143
MEM 36.402344 1614526290.4146
